"","playerID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","W","L","G.1","GS","CG","SHO","SV","IPouts","H.1","ER","HR.1","BB.1","SO.1","BAOpp","ERA","IBB.1","WP","HBP.1","BK","BFP","GF","R.1","SH.1","SF.1","GIDP.1","POS"
"262","madsory01",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,68,0,0,0,3,190,47,15,5,14,58,0.205,2.13,1,1,2,0,248,12,17,0,3,4,"P"
"263","moralfr01",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,67,0,0,0,0,187,58,22,4,14,41,0.246,3.18,0,6,4,2,258,12,24,2,2,6,"P"
"293","greinza01",32,67,8,15,2,0,2,3,1,0,1,14,0,0,8,1,0,19,3,32,32,1,0,0,668,148,41,14,40,200,0.187,1.66,1,7,5,0,843,0,43,6,2,15,"P"
"295","nicasju01",54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,53,1,0,0,1,175,59,25,1,32,65,0.263,3.86,6,2,1,0,260,12,25,3,0,5,"P"
"296","peraljo01",33,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,33,0,0,0,3,87,28,14,6,8,24,0.248,4.34,1,1,0,0,121,7,14,0,0,1,"P"
"297","rodrist02",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,31,10,3,0,3,8,0.263,2.61,0,0,0,0,42,4,3,0,1,0,"P"
"314","alvarhe01",4,6,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,4,4,0,0,0,67,28,16,1,7,9,0.311,6.45,1,3,0,1,102,0,18,4,1,1,"P"
"315","cishest01",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,70,18,6,2,13,20,0.212,2.31,0,1,1,0,99,8,7,0,0,4,"P"
"316","cishest01",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,70,18,6,2,13,20,0.212,2.31,0,1,1,0,99,8,7,0,0,4,"P"
"317","cishest01",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,32,0,0,0,3,96,37,16,2,14,28,0.291,4.5,3,0,0,0,144,15,19,1,2,3,"P"
"318","cishest01",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,32,0,0,0,3,96,37,16,2,14,28,0.291,4.5,3,0,0,0,144,15,19,1,2,3,"P"
"319","cishest01",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,70,18,6,2,13,20,0.212,2.31,0,1,1,0,99,8,7,0,0,4,"P"
"320","cishest01",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,70,18,6,2,13,20,0.212,2.31,0,1,1,0,99,8,7,0,0,4,"P"
"321","cishest01",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,32,0,0,0,3,96,37,16,2,14,28,0.291,4.5,3,0,0,0,144,15,19,1,2,3,"P"
"322","cishest01",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,32,0,0,0,3,96,37,16,2,14,28,0.291,4.5,3,0,0,0,144,15,19,1,2,3,"P"
"323","dysonsa01",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0,0,0,2,94,24,4,1,4,30,0.212,1.15,0,2,1,0,119,6,5,1,0,3,"P"
"324","dysonsa01",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0,0,0,2,94,24,4,1,4,30,0.212,1.15,0,2,1,0,119,6,5,1,0,3,"P"
"325","dysonsa01",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,44,0,0,0,0,132,41,18,3,17,41,0.247,3.68,1,6,3,0,190,10,21,3,1,3,"P"
"326","dysonsa01",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,44,0,0,0,0,132,41,18,3,17,41,0.247,3.68,1,6,3,0,190,10,21,3,1,3,"P"
"327","dysonsa01",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0,0,0,2,94,24,4,1,4,30,0.212,1.15,0,2,1,0,119,6,5,1,0,3,"P"
"328","dysonsa01",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0,0,0,2,94,24,4,1,4,30,0.212,1.15,0,2,1,0,119,6,5,1,0,3,"P"
"329","dysonsa01",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,44,0,0,0,0,132,41,18,3,17,41,0.247,3.68,1,6,3,0,190,10,21,3,1,3,"P"
"330","dysonsa01",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,44,0,0,0,0,132,41,18,3,17,41,0.247,3.68,1,6,3,0,190,10,21,3,1,3,"P"
"331","broxtjo01",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40,0,0,0,0,110,41,24,5,10,37,0.287,5.89,1,0,0,0,156,10,24,2,1,5,"P"
